aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
10,1000.0,1e-06,b_only,10001,1000.0,sketch_pre_warm,3.5373487850869655e-17,1,14
10,1000.0,1e-06,b_only,10001,1000.0,spir,1.3489430392010416e-17,1,9
10,1000.0,1e-06,b_only,10001,1000.0,qr_ref,6.450692546455604e-16,1,0
10,1000.0,1e-06,b_only,20002,1000.0,iter_sketch_mom,3.6031063423852055e-15,0,
10,1000.0,1e-06,b_only,20002,1000.0,sketch_pre_cold,1.3298303199631712e-09,0,
10,1000.0,1e-06,b_only,20002,1000.0,sketch_pre_warm,2.4766273530549998e-17,1,14
10,1000.0,1e-06,b_only,20002,1000.0,spir,1.0429044792942716e-17,1,9
10,1000.0,1e-06,b_only,20002,1000.0,qr_ref,1.9219425591118333e-16,1,0
10,1000.0,1e-06,b_only,30003,1000.0,iter_sketch_mom,5.016741650953954e-15,0,
10,1000.0,1e-06,b_only,30003,1000.0,sketch_pre_cold,2.7894180794514596e-10,0,
10,1000.0,1e-06,b_only,30003,1000.0,sketch_pre_warm,2.144075945878152e-17,1,14
10,1000.0,1e-06,b_only,30003,1000.0,spir,1.5718029226440568e-17,1,8
10,1000.0,1e-06,b_only,30003,1000.0,qr_ref,2.688627379966713e-16,1,0
10,1000.0,1e-06,b_only,40004,1000.0,iter_sketch_mom,4.998468767712003e-14,0,
10,1000.0,1e-06,b_only,40004,1000.0,sketch_pre_cold,7.943925593173069e-10,0,
10,1000.0,1e-06,b_only,40004,1000.0,sketch_pre_warm,3.907266452995662e-17,1,14
10,1000.0,1e-06,b_only,40004,1000.0,spir,1.4874235109439777e-17,1,8
10,1000.0,1e-06,b_only,40004,1000.0,qr_ref,2.0356884697191342e-16,1,0
10,1000.0,1e-06,a_and_b,32439,356.90588337919075,iter_sketch_mom,3.1486150353655877e-15,0,
10,1000.0,1e-06,a_and_b,32439,356.90588337919075,sketch_pre_cold,1.0905236802063122e-09,0,
10,1000.0,1e-06,a_and_b,32439,356.90588337919075,sketch_pre_warm,3.0172311729669754e-12,0,
10,1000.0,1e-06,a_and_b,32439,356.90588337919075,spir,1.2808970482622272e-17,1,20
10,1000.0,1e-06,a_and_b,32439,356.90588337919075,qr_ref,2.624186370364483e-16,1,0
10,1000.0,1e-06,a_and_b,10001,359.9290645991294,iter_sketch_mom,3.2129149302885565e-15,0,
10,1000.0,1e-06,a_and_b,10001,359.9290645991294,sketch_pre_cold,6.56693018188976e-10,0,
10,1000.0,1e-06,a_and_b,10001,359.9290645991294,sketch_pre_warm,2.4426206099472143e-12,0,
10,1000.0,1e-06,a_and_b,10001,359.9290645991294,spir,1.3762532079981481e-17,1,20
10,1000.0,1e-06,a_and_b,10001,359.9290645991294,qr_ref,7.209107830203067e-16,1,0
10,1000.0,1e-06,a_and_b,20002,369.19450626799096,iter_sketch_mom,1.6610441692084054e-11,0,
10,1000.0,1e-06,a_and_b,20002,369.19450626799096,sketch_pre_cold,1.6373090123814382e-09,0,
10,1000.0,1e-06,a_and_b,20002,369.19450626799096,sketch_pre_warm,7.214552917585421e-12,0,
10,1000.0,1e-06,a_and_b,20002,369.19450626799096,spir,1.4072568254727122e-17,1,20
10,1000.0,1e-06,a_and_b,20002,369.19450626799096,qr_ref,1.7724390556967276e-16,1,0
10,1000.0,1e-06,a_and_b,30003,363.3271641883555,iter_sketch_mom,4.783821582411843e-15,0,
10,1000.0,1e-06,a_and_b,30003,363.3271641883555,sketch_pre_cold,4.073499326393719e-10,0,
10,1000.0,1e-06,a_and_b,30003,363.3271641883555,sketch_pre_warm,3.2113957236419792e-12,0,
10,1000.0,1e-06,a_and_b,30003,363.3271641883555,spir,2.0088165018667236e-17,1,20
10,1000.0,1e-06,a_and_b,30003,363.3271641883555,qr_ref,4.203838306658409e-16,1,0
10,1000.0,1e-06,a_and_b,40004,364.40025243286516,iter_sketch_mom,3.857417572178898e-15,0,
10,1000.0,1e-06,a_and_b,40004,364.40025243286516,sketch_pre_cold,6.639662067270114e-10,0,
10,1000.0,1e-06,a_and_b,40004,364.40025243286516,sketch_pre_warm,4.021099028010117e-13,0,
10,1000.0,1e-06,a_and_b,40004,364.40025243286516,spir,1.3527605879781196e-17,1,20
10,1000.0,1e-06,a_and_b,40004,364.40025243286516,qr_ref,2.1095815640939097e-16,1,0
10,1000.0,1e-10,b_only,32439,1000.0,iter_sketch_mom,3.0628857573411533e-15,0,
10,1000.0,1e-10,b_only,32439,1000.0,sketch_pre_cold,8.592758721850567e-10,0,
10,1000.0,1e-10,b_only,32439,1000.0,sketch_pre_warm,3.3183626513031135e-17,1,3
10,1000.0,1e-10,b_only,32439,1000.0,spir,1.2519609017829433e-17,1,1
10,1000.0,1e-10,b_only,32439,1000.0,qr_ref,1.6085181201491837e-16,1,0
10,1000.0,1e-10,b_only,20002,1000.0,iter_sketch_mom,3.6050470082614936e-15,0,
10,1000.0,1e-10,b_only,20002,1000.0,sketch_pre_cold,1.3298303057777024e-09,0,
10,1000.0,1e-10,b_only,20002,1000.0,sketch_pre_warm,4.5746087356681303e-17,1,2
10,1000.0,1e-10,b_only,20002,1000.0,spir,9.014345857006962e-18,1,1
10,1000.0,1e-10,b_only,20002,1000.0,qr_ref,1.7548653771204068e-16,1,0
10,1000.0,1e-10,b_only,10001,1000.0,iter_sketch_mom,3.3548469506767257e-15,0,
10,1000.0,1e-10,b_only,10001,1000.0,sketch_pre_cold,2.1540162927361972e-10,0,
10,1000.0,1e-10,b_only,10001,1000.0,sketch_pre_warm,3.2439065341091794e-17,1,3
10,1000.0,1e-10,b_only,10001,1000.0,spir,1.6619648385539163e-17,1,1
10,1000.0,1e-10,b_only,10001,1000.0,qr_ref,6.432778390492057e-16,1,0
10,1000.0,1e-10,b_only,30003,1000.0,iter_sketch_mom,5.013815167560435e-15,0,
10,1000.0,1e-10,b_only,30003,1000.0,sketch_pre_cold,2.7894180391598637e-10,0,
10,1000.0,1e-10,b_only,30003,1000.0,sketch_pre_warm,4.213464906720324e-17,1,2
10,1000.0,1e-10,b_only,30003,1000.0,spir,1.051743067089222e-17,1,1
10,1000.0,1e-10,b_only,30003,1000.0,qr_ref,2.557437654862147e-16,1,0
10,1000.0,1e-10,b_only,40004,1000.0,iter_sketch_mom,4.9984385979560454e-14,0,
10,1000.0,1e-10,b_only,40004,1000.0,sketch_pre_cold,7.943925519731802e-10,0,
10,1000.0,1e-10,b_only,40004,1000.0,sketch_pre_warm,4.8035052018774686e-17,1,2
10,1000.0,1e-10,b_only,40004,1000.0,spir,1.2150375390448535e-17,1,1
10,1000.0,1e-10,b_only,40004,1000.0,qr_ref,1.9471478716924557e-16,1,0
10,1000.0,1e-10,a_and_b,32439,356.90588337919075,iter_sketch_mom,3.1478917654254173e-15,0,
10,1000.0,1e-10,a_and_b,32439,356.90588337919075,sketch_pre_cold,1.0905236808944624e-09,0,
10,1000.0,1e-10,a_and_b,32439,356.90588337919075,sketch_pre_warm,3.0172299070232343e-12,0,
10,1000.0,1e-10,a_and_b,32439,356.90588337919075,spir,1.1955543350789277e-17,1,20
10,1000.0,1e-10,a_and_b,32439,356.90588337919075,qr_ref,2.609488630578758e-16,1,0
10,1000.0,1e-10,a_and_b,10001,359.9290645991294,iter_sketch_mom,3.2177627964181447e-15,0,
10,1000.0,1e-10,a_and_b,10001,359.9290645991294,sketch_pre_cold,6.566930354502572e-10,0,
10,1000.0,1e-10,a_and_b,10001,359.9290645991294,sketch_pre_warm,2.442620113693119e-12,0,
10,1000.0,1e-10,a_and_b,10001,359.9290645991294,spir,1.0347234364565596e-17,1,20
10,1000.0,1e-10,a_and_b,10001,359.9290645991294,qr_ref,7.153412524726432e-16,1,0
10,1000.0,1e-10,a_and_b,20002,369.19450626799096,iter_sketch_mom,1.661043961738158e-11,0,
10,1000.0,1e-10,a_and_b,20002,369.19450626799096,sketch_pre_cold,1.6373090188395212e-09,0,
10,1000.0,1e-10,a_and_b,20002,369.19450626799096,sketch_pre_warm,7.214543138636011e-12,0,
10,1000.0,1e-10,a_and_b,20002,369.19450626799096,spir,1.3074023285638487e-17,1,20
10,1000.0,1e-10,a_and_b,20002,369.19450626799096,qr_ref,1.7988154502327297e-16,1,0
10,1000.0,1e-10,a_and_b,30003,363.3271641883555,iter_sketch_mom,4.784181903279133e-15,0,
10,1000.0,1e-10,a_and_b,30003,363.3271641883555,sketch_pre_cold,4.073499340907211e-10,0,
10,1000.0,1e-10,a_and_b,30003,363.3271641883555,sketch_pre_warm,3.211395623077804e-12,0,
10,1000.0,1e-10,a_and_b,30003,363.3271641883555,spir,1.4985621030674772e-17,1,20
