dataset_id,dataset_family,noise_model,method,m,n,m_over_n,density,condition_proxy,column_norm_ratio,pass_rate,median_be,n_runs
cpusmall,libsvm,a_and_b,fossils,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.8,4.9012963181971944e-17,5
cpusmall,libsvm,a_and_b,iter_sketch_mom,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.0,1.4350308897447532e-15,5
cpusmall,libsvm,a_and_b,qr_ref,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,1.0,8.538062894387073e-17,5
cpusmall,libsvm,a_and_b,sketch_pre_cold,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.0,1.343518116567433e-11,5
cpusmall,libsvm,a_and_b,sketch_pre_warm,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.0,6.899381650609914e-12,5
cpusmall,libsvm,a_and_b,sketch_solve,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.0,0.0011236069713289258,5
cpusmall,libsvm,a_and_b,spir,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,1.0,2.410281898434014e-18,5
cpusmall,libsvm,b_only,fossils,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.4,5.168350546517465e-16,5
cpusmall,libsvm,b_only,iter_sketch_mom,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,1.0,5.904139677565096e-19,5
cpusmall,libsvm,b_only,qr_ref,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,1.0,1.3383304393579642e-18,5
cpusmall,libsvm,b_only,sketch_pre_cold,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.0,1.2225257451097678e-14,5
cpusmall,libsvm,b_only,sketch_pre_warm,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.4,1.1244765435560212e-15,5
cpusmall,libsvm,b_only,sketch_solve,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,0.0,9.196043528557554e-07,5
cpusmall,libsvm,b_only,spir,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,1.0,4.010545432788264e-22,5
illc1033,suitesparse,a_and_b,fossils,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.8,3.769073803205746e-17,5
illc1033,suitesparse,a_and_b,iter_sketch_mom,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.0,2.5822877825595535e-15,5
illc1033,suitesparse,a_and_b,qr_ref,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,1.0,1.3771589316592186e-16,5
illc1033,suitesparse,a_and_b,sketch_pre_cold,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.0,7.360208562896296e-10,5
illc1033,suitesparse,a_and_b,sketch_pre_warm,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.0,2.263616756010555e-12,5
illc1033,suitesparse,a_and_b,sketch_solve,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.0,0.00018334812610766615,5
illc1033,suitesparse,a_and_b,spir,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,1.0,1.5470372598988426e-17,5
illc1033,suitesparse,b_only,fossils,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,1.0,6.951177588863065e-18,5
illc1033,suitesparse,b_only,iter_sketch_mom,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.0,4.746796366799746e-15,5
illc1033,suitesparse,b_only,qr_ref,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,1.0,1.6766478532809632e-16,5
illc1033,suitesparse,b_only,sketch_pre_cold,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.0,6.130546704676122e-10,5
illc1033,suitesparse,b_only,sketch_pre_warm,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,1.0,1.8605936427235697e-16,5
illc1033,suitesparse,b_only,sketch_solve,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,0.0,1.7155797126829287e-08,5
illc1033,suitesparse,b_only,spir,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,1.0,6.65498697884103e-18,5
well1033,suitesparse,a_and_b,fossils,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.6,1.8604778426471837e-16,5
well1033,suitesparse,a_and_b,iter_sketch_mom,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.0,2.7799153485680893e-15,5
well1033,suitesparse,a_and_b,qr_ref,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,1.0,1.4445549992715058e-16,5
well1033,suitesparse,a_and_b,sketch_pre_cold,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.0,9.134861688702614e-10,5
well1033,suitesparse,a_and_b,sketch_pre_warm,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.0,1.9796496327287957e-12,5
well1033,suitesparse,a_and_b,sketch_solve,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.0,0.00020839360716525207,5
well1033,suitesparse,a_and_b,spir,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,1.0,1.7374475039727082e-17,5
well1033,suitesparse,b_only,fossils,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,1.0,6.890052036604712e-18,5
well1033,suitesparse,b_only,iter_sketch_mom,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.0,2.4866978131103996e-15,5
well1033,suitesparse,b_only,qr_ref,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,1.0,1.7203058839215472e-16,5
well1033,suitesparse,b_only,sketch_pre_cold,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.0,9.039523333003323e-10,5
well1033,suitesparse,b_only,sketch_pre_warm,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,1.0,1.9249307864409837e-16,5
well1033,suitesparse,b_only,sketch_solve,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,0.0,1.765214394496709e-08,5
well1033,suitesparse,b_only,spir,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,1.0,6.305893592617923e-18,5
