dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
well1033,suitesparse,b_only,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,sketch_solve,1.6831343045398594e-08,0,
well1033,suitesparse,b_only,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,iter_sketch_mom,1.9458839441425966e-15,0,
well1033,suitesparse,b_only,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,sketch_pre_cold,5.636300609711366e-10,0,
well1033,suitesparse,b_only,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,sketch_pre_warm,1.9249307864409837e-16,1,
well1033,suitesparse,b_only,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,fossils,1.0035275848912716e-17,1,
well1033,suitesparse,b_only,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,spir,6.150532456125018e-18,1,14
well1033,suitesparse,b_only,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,qr_ref,1.7203058839215472e-16,1,0
well1033,suitesparse,b_only,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,sketch_solve,1.8793215617517774e-08,0,
well1033,suitesparse,b_only,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,iter_sketch_mom,2.4866978131103996e-15,0,
well1033,suitesparse,b_only,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,sketch_pre_cold,9.039523333003323e-10,0,
well1033,suitesparse,b_only,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,sketch_pre_warm,2.12533110343251e-16,1,
well1033,suitesparse,b_only,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,fossils,5.861555000733584e-18,1,
well1033,suitesparse,b_only,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,spir,6.733108578406273e-18,1,14
well1033,suitesparse,b_only,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,qr_ref,1.7203058839215472e-16,1,0
well1033,suitesparse,b_only,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,sketch_solve,1.8420332206779978e-08,0,
