study,aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
warm_start_followup,10,1000.0,0.01,b_only,70007,1000.0,sketch_pre_cold,9.509578663548738e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,70007,1000.0,sketch_pre_warm,2.100631672047826e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,70007,1000.0,fossils,1.0758507267972288e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,70007,1000.0,spir,1.2359198188449046e-17,1,15
warm_start_followup,10,1000.0,0.01,b_only,70007,1000.0,qr_ref,3.56428091915913e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,80008,1000.0,sketch_solve,2.1521032971505384e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,80008,1000.0,iter_sketch_mom,5.241256086857751e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,80008,1000.0,sketch_pre_cold,1.4534493953236856e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,80008,1000.0,sketch_pre_warm,2.330073556482354e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,80008,1000.0,fossils,1.1697599811677612e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,80008,1000.0,spir,1.4320835237503833e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,80008,1000.0,qr_ref,2.1403369533871962e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,90009,1000.0,sketch_solve,2.3109874641146987e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,90009,1000.0,iter_sketch_mom,5.846297913291397e-12,0,
warm_start_followup,10,1000.0,0.01,b_only,90009,1000.0,sketch_pre_cold,1.73890466479588e-10,0,
warm_start_followup,10,1000.0,0.01,b_only,90009,1000.0,sketch_pre_warm,2.697787352674042e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,90009,1000.0,fossils,1.275993335334823e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,90009,1000.0,spir,1.404717779055646e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,90009,1000.0,qr_ref,1.6893809666916643e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,110011,1000.0,sketch_solve,1.9941007138987228e-07,0,
